"";"Name";"Area";"Year";"age0";"age1";"age2";"age3";"age4";"age5";"age6to9";"age11to15";"age16t20";"age21to30";"age31to40";"age40plus";"sum_all";"age0_m";"age1_m";"age2_m";"age3_m";"age4_m";"age5_m";"age6to9_m";"age11to15_m";"age16to20_m";"age21to30_m";"age31to40_m";"age40plus_m";"total_pop_m"
"1";"ENGLAND";"Country";2006;620114;605435;596379;575047;557989;556275;2970930;3187944;3340618;6610202;7470007;23672953;50763893;638501;650257,333333333;650250,666666667;646431,666666667;637469,666666667;641144;3201586,33333333;3166369,33333333;3261121,66666667;7111769;7335900,33333333;25698089,3333333;53638890,3333333
"2";"NORTH EAST";"Region";2006;28837;27869;27725;26768;25942;26214;144265;161581;179795;315675;340947;1247102;2552720;28378,3333333333;28733;29097;28980;28367;28952,3333333333;147399;149863,666666667;167570;339939,666666667;323300,666666667;1310466,66666667;2611047,33333333
"3";"NORTH WEST";"Region";2006;82545;80881;79006;76026;74613;74879;403825;449893;477259;853896;958125;3241064;6852012;83668,6666666667;84835;84845,6666666667;84234,6666666667;83407,3333333333;84327,6666666667;422014,666666667;426648,666666667;446153;930565;920051,333333333;3448071,33333333;7098823
"4";"YORKSHIRE AND THE HUMBER";"Region";2006;61439;60098;59335;56830;55771;55161;300718;329592;370122;680138;715793;2401442;5146439;62096;63431;63572,6666666667;63267;62863;62668,6666666667;317140,666666667;317194,666666667;349442;718213,666666667;685000,666666667;2564149;5329039
"5";"EAST MIDLANDS";"Region";2006;50088;48819;48607;47234;46310;46678;252383;279099;298672;532407;621653;2090684;4362634;51262,6666666667;52475,3333333333;53096,6666666667;53103,6666666667;52695;53231;268500,333333333;271908,333333333;295235,333333333;580676;587671,666666667;2279141,66666667;4598997,66666667
"6";"WEST MIDLANDS";"Region";2006;66244;65666;64725;62175;60845;60105;326316;351036;365230;659996;755134;2524731;5362203;68529,3333333333;69847;69888,6666666667;69075,6666666667;68603,6666666667;69167,6666666667;348044,333333333;347557,333333333;359076,333333333;741294,333333333;733555;2712344,66666667;5656984
"7";"EAST";"Region";2006;65981;65432;65794;63484;62430;63267;336148;354586;342017;655148;810549;2708395;5593231;68957;70959,3333333333;71852,3333333333;71850;71222,3333333333;71939;358985;354022,666666667;338355;702282,666666667;788729,666666667;2958718;5927873
"8";"LONDON";"Region";2006;114743;108487;102228;97000;90930;84971;427570;418269;452551;1362671;1395581;2891567;7546568;120918,333333333;120664;116008,333333333;113253;109380,666666667;107125,666666667;509991;465252,666666667;458886,333333333;1425827;1493552,66666667;3267507;8308366,66666667
"9";"SOUTH EAST";"Region";2006;96708;94658;95581;93028;90146;92227;490928;527376;521403;973463;1186224;3962531;8224273;99127;101959;103979,333333333;104389,666666667;103322;104751,333333333;528975,333333333;528216,666666667;521865,333333333;1042343,66666667;1150693,33333333;4342768,66666667;8732391,33333333
"10";"SOUTH WEST";"Region";2006;53529;53525;53378;52502;51002;52773;288777;316512;333569;576808;686001;2605437;5123813;55563,6666666667;57353,6666666667;57910;58278;57608,6666666667;58980,6666666667;300536;305704,666666667;324538,333333333;630627;653345,333333333;2814922,33333333;5375368,33333333
"11";"ENGLAND";"Country";2013;676531;701281;688777;678113;669428;676035;3097012;3022061;3308976;7341296;7037510;25968797;53865817;638501;650257,333333333;650250,666666667;646431,666666667;637469,666666667;641144;3201586,33333333;3166369,33333333;3261121,66666667;7111769;7335900,33333333;25698089,3333333;53638890,3333333
"12";"NORTH EAST";"Region";2013;29677;30718;30945;30597;29844;30419;140743;139880;169591;349261;302167;1326639;2610481;28378,3333333333;28733;29097;28980;28367;28952,3333333333;147399;149863,666666667;167570;339939,666666667;323300,666666667;1310466,66666667;2611047,33333333
"13";"NORTH WEST";"Region";2013;87203;90265;88850;87440;86508;88045;405867;400394;446181;962556;865585;3494367;7103261;83668,6666666667;84835;84845,6666666667;84234,6666666667;83407,3333333333;84327,6666666667;422014,666666667;426648,666666667;446153;930565;920051,333333333;3448071,33333333;7098823
"14";"YORKSHIRE AND THE HUMBER";"Region";2013;65625;68262;66706;67008;66480;66297;307320;299477;352046;731204;649186;2598100;5337711;62096;63431;63572,6666666667;63267;62863;62668,6666666667;317140,666666667;317194,666666667;349442;718213,666666667;685000,666666667;2564149;5329039
"15";"EAST MIDLANDS";"Region";2013;54062;56460;56288;55351;54853;55838;257682;258649;299135;589268;551356;2309489;4598431;51262,6666666667;52475,3333333333;53096,6666666667;53103,6666666667;52695;53231;268500,333333333;271908,333333333;295235,333333333;580676;587671,666666667;2279141,66666667;4598997,66666667
"16";"WEST MIDLANDS";"Region";2013;72581;74395;72997;71641;71910;72703;338300;332658;365274;758843;694098;2749312;5674712;68529,3333333333;69847;69888,6666666667;69075,6666666667;68603,6666666667;69167,6666666667;348044,333333333;347557,333333333;359076,333333333;741294,333333333;733555;2712344,66666667;5656984
"17";"EAST";"Region";2013;72766;75623;75621;74997;74363;74806;342744;339280;349634;727415;753350;2993717;5954316;68957;70959,3333333333;71852,3333333333;71850;71222,3333333333;71939;358985;354022,666666667;338355;702282,666666667;788729,666666667;2958718;5927873
"18";"LONDON";"Region";2013;130172;132726;123448;119104;115831;115877;507765;455079;463498;1502882;1487271;3262890;8416543;120918,333333333;120664;116008,333333333;113253;109380,666666667;107125,666666667;509991;465252,666666667;458886,333333333;1425827;1493552,66666667;3267507;8308366,66666667
"19";"SOUTH EAST";"Region";2013;104848;110528;111828;110968;109359;110800;511665;506089;534414;1071043;1117696;4393528;8792766;99127;101959;103979,333333333;104389,666666667;103322;104751,333333333;528975,333333333;528216,666666667;521865,333333333;1042343,66666667;1150693,33333333;4342768,66666667;8732391,33333333
"20";"SOUTH WEST";"Region";2013;59597;62304;62094;61007;60280;61250;284926;290555;329203;648824;616801;2840755;5377596;55563,6666666667;57353,6666666667;57910;58278;57608,6666666667;58980,6666666667;300536;305704,666666667;324538,333333333;630627;653345,333333333;2814922,33333333;5375368,33333333
"21";"ENGLAND";"Country";2019;618858;644056;665596;686135;684992;691122;3536817;3289103;3133771;7383809;7500184;27452518;56286961;638501;650257,333333333;650250,666666667;646431,666666667;637469,666666667;641144;3201586,33333333;3166369,33333333;3261121,66666667;7111769;7335900,33333333;25698089,3333333;53638890,3333333
"22";"NORTH EAST";"Region";2019;26621;27612;28621;29575;29315;30224;157189;148130;153324;354883;326788;1357659;2669941;28378,3333333333;28733;29097;28980;28367;28952,3333333333;147399;149863,666666667;167570;339939,666666667;323300,666666667;1310466,66666667;2611047,33333333
"23";"NORTH WEST";"Region";2019;81258;83359;86681;89238;89101;90059;456352;429659;415019;975243;936444;3608783;7341196;83668,6666666667;84835;84845,6666666667;84234,6666666667;83407,3333333333;84327,6666666667;422014,666666667;426648,666666667;446153;930565;920051,333333333;3448071,33333333;7098823
"24";"YORKSHIRE AND THE HUMBER";"Region";2019;59224;61933;64677;65963;66338;66548;343384;322515;326158;743299;690023;2692905;5502967;62096;63431;63572,6666666667;63267;62863;62668,6666666667;317140,666666667;317194,666666667;349442;718213,666666667;685000,666666667;2564149;5329039
"25";"EAST MIDLANDS";"Region";2019;49638;52147;54395;56726;56922;57177;295436;277977;287899;620353;590006;2437252;4835928;51262,6666666667;52475,3333333333;53096,6666666667;53103,6666666667;52695;53231;268500,333333333;271908,333333333;295235,333333333;580676;587671,666666667;2279141,66666667;4598997,66666667
"26";"WEST MIDLANDS";"Region";2019;66763;69480;71944;73411;73056;74695;379517;358978;346725;805044;751433;2862991;5934037;68529,3333333333;69847;69888,6666666667;69075,6666666667;68603,6666666667;69167,6666666667;348044,333333333;347557,333333333;359076,333333333;741294,333333333;733555;2712344,66666667;5656984
"27";"EAST";"Region";2019;68124;71823;74142;77069;76874;77744;398063;368202;323414;724285;802290;3174042;6236072;68957;70959,3333333333;71852,3333333333;71850;71222,3333333333;71939;358985;354022,666666667;338355;702282,666666667;788729,666666667;2958718;5927873
"28";"LONDON";"Region";2019;117840;120779;122349;123655;121381;120529;594638;522410;460610;1411928;1597806;3648064;8961989;120918,333333333;120664;116008,333333333;113253;109380,666666667;107125,666666667;509991;465252,666666667;458886,333333333;1425827;1493552,66666667;3267507;8308366,66666667
"29";"SOUTH EAST";"Region";2019;95825;100691;104529;109173;110461;111227;584333;551185;509779;1082525;1148160;4672247;9180135;99127;101959;103979,333333333;104389,666666667;103322;104751,333333333;528975,333333333;528216,666666667;521865,333333333;1042343,66666667;1150693,33333333;4342768,66666667;8732391,33333333
"30";"SOUTH WEST";"Region";2019;53565;56232;58258;61325;61544;62919;327905;310047;310843;666249;657234;2998575;5624696;55563,6666666667;57353,6666666667;57910;58278;57608,6666666667;58980,6666666667;300536;305704,666666667;324538,333333333;630627;653345,333333333;2814922,33333333;5375368,33333333
